Year,Meaning of Aggregate Description, Amount Formatted 
2015,Total Taxes," 20,644,454 "
2015,Property Taxes," 2,018,393 "
2015,Sales and Gross Receipts Taxes," 16,241,234 "
2015,General Sales and Gross Receipts Taxes," 12,517,831 "
2015,Selective Sales and Gross Receipts Taxes," 3,723,403 "
2015,Alcoholic Beverages Sales Tax," 331,405 "
2015,Amusements Sales Tax, -   
2015,Insurance Premiums Sales Tax," 555,976 "
2015,Motor Fuels Sales Tax," 1,247,817 "
2015,Pari-mutuels Sales Tax," 1,458 "
2015,Public Utilities Sales Tax," 483,211 "
2015,Tobacco Products Sales Tax," 474,183 "
2015,Other Selective Sales and Gross Receipts Taxes," 629,353 "
2015,License Taxes," 1,396,989 "
2015,Alcoholic Beverages License," 133,757 "
2015,Amusements License," 6,038 "
2015,Corporations in General License," 34,595 "
2015,Hunting and Fishing License," 45,738 "
2015,Motor Vehicle License," 564,178 "
2015,Motor Vehicle Operators License," 116,458 "
2015,Public Utilities License," 18,529 "
2015,"Occupation and Business License, NEC"," 312,495 "
2015,Other License Taxes," 165,201 "
2015,Income Taxes, -   
2015,Individual Income Taxes, -   
2015,Corporations Net Income Taxes, -   
2015,Other Taxes," 987,838 "
2015,Death and Gift Taxes," 150,295 "
2015,Documentarty and Stock Transfer Taxes," 793,650 "
2015,Severance Taxes," 43,893 "
2015,"Taxes, NEC", -   
2015,Total Revenue," 50,008,690 "
2015,General Revenue," 41,561,687 "
2015,Intergovernmental Revenue," 13,247,057 "
2015,Corporation Net income Taxes, -   
2015,All Other Taxes," 3,006,231 "
2015,Current Charges," 5,090,011 "
2015,Miscellaneous General Revenue," 2,580,165 "
2015,Utility Revenue, 4 
2015,Liquor Stores Revenue, -   
2015,Insurance Trust Revenue," 8,446,999 "
2015,Total Expenditure," 50,812,399 "
2015,Total Expenditure - Intergovernmental Expenditure," 11,783,929 "
2015,Total Expenditure - Direct Expenditure," 39,028,470 "
2015,Total Expenditure - Direct Expenditure - Current Operations," 26,397,268 "
2015,Total Expenditure - Direct Expenditure - Capital Outlay," 2,884,867 "
2015,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 6,753,385 "
2015,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,577,951 "
2015,Total Expenditure - Direct Expenditure - Interest on Debt," 1,414,999 "
2015,Total Expenditure - Exhibit: Salaries and Wages," 7,320,734 "
2015,Total Expenditure - General Expenditure," 43,875,706 "
2015,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 11,783,929 "
2015,Total Expenditure - General Expenditure - Direct General Expenditure," 32,091,777 "
2015,"General Expenditure, by Function: - Education"," 17,101,172 "
2015,"General Expenditure, by Function: - Public Welfare"," 11,329,491 "
2015,"General Expenditure, by Function: - Hospitals"," 2,586,923 "
2015,"General Expenditure, by Function: - Health"," 2,239,003 "
2015,"General Expenditure, by Function: - Highways"," 2,930,924 "
2015,"General Expenditure, by Function: - Police Protection"," 405,692 "
2015,"General Expenditure, by Function: - Correction"," 984,771 "
2015,"General Expenditure, by Function: - Natural Resources"," 918,107 "
2015,"General Expenditure, by Function: - Parks and Recreation"," 257,577 "
2015,"General Expenditure, by Function: - Governmental Administration"," 1,263,265 "
2015,"General Expenditure, by Function: - Interest on General Debt"," 1,414,999 "
2015,"General Expenditure, by Function: - Other and Unallocable"," 1,721,239 "
2015,Utility Expenditure," 235,979 "
2015,Liquor Stores Expenditure, -   
2015,Insurance Trust Expenditure," 6,753,385 "
2015,"Total Debt Outstanding, Long term and Short Term"," 32,231,967 "
2015,Total Cash and Security Holdings," 60,798,213 "
2015,"Lottery Income ($1,000)"," 658,854 "
2015,"Lottery Prizes ($1,000)"," 432,901 "
2015,"Lottery Administration ($1,000)"," 45,142 "
2015,"Lottery Proceeds Available ($1,000)"," 180,811 "
2016,Total Taxes," 22,280,088 "
2016,Property Taxes," 2,062,065 "
2016,General Sales and Gross Receipts Taxes," 13,560,382 "
2016,Alcoholic Beverages Sales Taxes," 347,642 "
2016,Amusements Sales Taxes, -   
2016,Insurance Premiums Sales Taxes," 534,663 "
2016,Motor Fuels Sales Taxes," 1,457,933 "
2016,Pari-mutuels Sales Taxes," 1,840 "
2016,Public Utilities Sales Taxes," 489,225 "
2016,Tobacco Products Sales Taxes," 450,805 "
2016,Other Selective Sales and Gross Receipts Taxes," 793,541 "
2016,Alcoholic Beverages License Taxes," 143,858 "
2016,Amusements License Taxes," 6,630 "
2016,Corporations General License Taxes," 35,739 "
2016,Hunting and Fishing License Taxes," 43,864 "
2016,Motor Vehicle License Taxes," 603,519 "
2016,Motor Vehicle Operators License Taxes," 119,671 "
2016,Public Utilities License Taxes," 22,587 "
2016,"Occupation and Business License Taxes, NEC"," 323,654 "
2016,Other License Taxes," 161,678 "
2016,Individual Income Taxes, -   
2016,Corporations Net Income Taxes, -   
2016,Death and Gift Taxes," 136,035 "
2016,Documentarty and Stock Transfer Taxes," 945,026 "
2016,Severance Taxes," 39,731 "
2016,"Taxes, NEC", -   
2016,Sales and Gross Receipts Taxes," 17,636,031 "
2016,Selective Sales and Gross Receipts Taxes," 4,075,649 "
2016,License Taxes," 1,461,200 "
2016,Income Taxes, -   
2016,Other Taxes," 1,120,792 "
2016,Total Revenue," 51,173,804 "
2016,General Revenue," 44,056,615 "
2016,Intergovernmental Revenue," 13,684,525 "
2016,Corporation Net income Taxes, -   
2016,All Other Taxes," 3,182,857 "
2016,Current Charges," 5,352,613 "
2016,Miscellaneous General Revenue," 2,739,389 "
2016,Utility Revenue, 41 
2016,Liquor Stores Revenue, -   
2016,Insurance Trust Revenue," 7,117,148 "
2016,Total Expenditure," 52,736,997 "
2016,Total Expenditure - Intergovernmental Expenditure," 12,448,294 "
2016,Total Expenditure - Direct Expenditure," 40,288,703 "
2016,Total Expenditure - Direct Expenditure - Current Operations," 27,594,097 "
2016,Total Expenditure - Direct Expenditure - Capital Outlay," 2,662,867 "
2016,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 6,987,148 "
2016,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,604,854 "
2016,Total Expenditure - Direct Expenditure - Interest on Debt," 1,439,737 "
2016,Total Expenditure - Exhibit: Salaries and Wages," 7,832,229 "
2016,Total Expenditure - General Expenditure," 45,508,047 "
2016,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 12,448,294 "
2016,Total Expenditure - General Expenditure - Direct General Expenditure," 33,059,753 "
2016,"General Expenditure, by Function: - Education"," 18,354,126 "
2016,"General Expenditure, by Function: - Public Welfare"," 11,552,005 "
2016,"General Expenditure, by Function: - Hospitals"," 2,799,289 "
2016,"General Expenditure, by Function: - Health"," 2,315,807 "
2016,"General Expenditure, by Function: - Highways"," 2,790,205 "
2016,"General Expenditure, by Function: - Police Protection"," 419,197 "
2016,"General Expenditure, by Function: - Correction"," 1,040,326 "
2016,"General Expenditure, by Function: - Natural Resources"," 888,992 "
2016,"General Expenditure, by Function: - Parks and Recreation"," 241,463 "
2016,"General Expenditure, by Function: - Governmental Administration"," 1,224,372 "
2016,"General Expenditure, by Function: - Interest on General Debt"," 1,439,737 "
2016,"General Expenditure, by Function: - Other and Unallocable"," 1,682,487 "
2016,Utility Expenditure," 299,250 "
2016,Liquor Stores Expenditure, -   
2016,Insurance Trust Expenditure," 6,987,148 "
2016,"Total Debt Outstanding, Long term and Short Term"," 33,051,285 "
2016,Total Cash and Security Holdings," 63,461,745 "
2016,"Lottery Income ($1,000)"," 658,854 "
2016,"Lottery Prizes ($1,000)"," 432,901 "
2016,"Lottery Administration ($1,000)"," 45,142 "
2016,"Lottery Proceeds Available ($1,000)"," 180,811 "
2017,Total Taxes," 23,995,147 "
2017,Property Taxes," 2,097,507 "
2017,General Sales and Gross Receipts Taxes," 14,509,841 "
2017,Alcoholic Beverages Sales Taxes," 354,939 "
