Year,Expenditure,Amount
2012,Total Expenditure,45690215
2013,Total Expenditure,45003333
2014,Total Expenditure,48117245
2015,Total Expenditure,50812399
2016,Total Expenditure,52736997
2017,Total Expenditure,56191751
2018,Total Expenditure,58298035
2019,Total Expenditure,61042252
2012,Total Expenditure - Intergovernmental Expenditure,10314091
2013,Total Expenditure - Intergovernmental Expenditure,10283471
2014,Total Expenditure - Intergovernmental Expenditure,11172420
2015,Total Expenditure - Intergovernmental Expenditure,11783929
2016,Total Expenditure - Intergovernmental Expenditure,12448294
2017,Total Expenditure - Intergovernmental Expenditure,13639615
2018,Total Expenditure - Intergovernmental Expenditure,14549578
2019,Total Expenditure - Intergovernmental Expenditure,16832903
2012,Total Expenditure - Direct Expenditure,35376124
2013,Total Expenditure - Direct Expenditure,34719862
2014,Total Expenditure - Direct Expenditure,36944825
2015,Total Expenditure - Direct Expenditure,39028470
2016,Total Expenditure - Direct Expenditure,40288703
2017,Total Expenditure - Direct Expenditure,42552136
2018,Total Expenditure - Direct Expenditure,43748457
2019,Total Expenditure - Direct Expenditure,44209349
2012,Total Expenditure - Direct Expenditure - Current Operations,21770253
2013,Total Expenditure - Direct Expenditure - Current Operations,21429815
2014,Total Expenditure - Direct Expenditure - Current Operations,23869792
2015,Total Expenditure - Direct Expenditure - Current Operations,26397268
2016,Total Expenditure - Direct Expenditure - Current Operations,27594097
2017,Total Expenditure - Direct Expenditure - Current Operations,29625769
2018,Total Expenditure - Direct Expenditure - Current Operations,30536522
2019,Total Expenditure - Direct Expenditure - Current Operations,31006045
2012,Total Expenditure - Direct Expenditure - Capital Outlay,2906639
2013,Total Expenditure - Direct Expenditure - Capital Outlay,3119913
2014,Total Expenditure - Direct Expenditure - Capital Outlay,2833717
2015,Total Expenditure - Direct Expenditure - Capital Outlay,2884867
2016,Total Expenditure - Direct Expenditure - Capital Outlay,2662867
2017,Total Expenditure - Direct Expenditure - Capital Outlay,2975222
2018,Total Expenditure - Direct Expenditure - Capital Outlay,2598470
2019,Total Expenditure - Direct Expenditure - Capital Outlay,2340505
2012,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7896071
2013,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7344587
2014,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7314339
2015,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,6753385
2016,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,6987148
2017,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7132650
2018,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7480799
2019,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,7681598
2012,Total Expenditure - Direct Expenditure - Assistance and Subsidies,1449957
2013,Total Expenditure - Direct Expenditure - Assistance and Subsidies,1535902
2014,Total Expenditure - Direct Expenditure - Assistance and Subsidies,1563347
2015,Total Expenditure - Direct Expenditure - Assistance and Subsidies,1577951
2016,Total Expenditure - Direct Expenditure - Assistance and Subsidies,1604854
