Year,Revenue,Amount
2012,Total Revenue,40803723
2013,Total Revenue,48998678
2014,Total Revenue,55042312
2015,Total Revenue,50008690
2016,Total Revenue,51173804
2017,Total Revenue,65733100
2018,Total Revenue,70873183
2019,Total Revenue,68488756
2012,General Revenue,34211495
2013,General Revenue,35962221
2014,General Revenue,38517245
2015,General Revenue,41561687
2016,General Revenue,44056615
2017,General Revenue,47436749
2018,General Revenue,50965346
2019,General Revenue,52105148
2012,Intergovernmental Revenue,10002170
2013,Intergovernmental Revenue,10020920
2014,Intergovernmental Revenue,11536213
2015,Intergovernmental Revenue,13247057
2016,Intergovernmental Revenue,13684525
2017,Intergovernmental Revenue,14237160
2018,Intergovernmental Revenue,14446364
2019,Intergovernmental Revenue,13963165
2012,Miscellaneous General Revenue,2330026
2013,Miscellaneous General Revenue,2357664
2014,Miscellaneous General Revenue,2559474
2015,Miscellaneous General Revenue,2580165
2016,Miscellaneous General Revenue,2739389
2017,Miscellaneous General Revenue,3229481
2018,Miscellaneous General Revenue,3659423
2019,Miscellaneous General Revenue,3477158
2012,Utility Revenue,0
2013,Utility Revenue,0
2014,Utility Revenue,11
2015,Utility Revenue,4
2016,Utility Revenue,41
2017,Utility Revenue,14
2018,Utility Revenue,0
2019,Utility Revenue,0
2012,Liquor Stores Revenue,612106
2013,Liquor Stores Revenue,0
2014,Liquor Stores Revenue,0
2015,Liquor Stores Revenue,0
2016,Liquor Stores Revenue,0
2017,Liquor Stores Revenue,X
2018,Liquor Stores Revenue,X
2019,Liquor Stores Revenue,X
2012,Insurance Trust Revenue,5980122
2013,Insurance Trust Revenue,13036457
2014,Insurance Trust Revenue,16525056
2015,Insurance Trust Revenue,8446999
2016,Insurance Trust Revenue,7117148
2017,Insurance Trust Revenue,18296337
2018,Insurance Trust Revenue,19907837
2019,Insurance Trust Revenue,16383608
2012,Current Charges,4254584
2013,Current Charges,4796450
2014,Current Charges,4973659
2015,Current Charges,5090011
2016,Current Charges,5352613
2017,Current Charges,5974961
2018,Current Charges,6280235
2019,Current Charges,6672388
2012,Total Taxes,17624715
2013,Total Taxes,18787187
2014,Total Taxes,19447899
2015,Total Taxes,20644454
2016,Total Taxes,22280088
2017,Total Taxes,23995147
2018,Total Taxes,26579324
2019,Total Taxes,27992437
