Year,Tax,Amount
2012,Total Taxes,17624715
2013,Total Taxes,18787187
2014,Total Taxes,19447899
2015,Total Taxes,20644454
2016,Total Taxes,22280088
2017,Total Taxes,23995147
2018,Total Taxes,26579324
2019,Total Taxes,27992437
2012,General Sales and Gross Receipts Taxes,10614137
2013,General Sales and Gross Receipts Taxes,11122868
2014,General Sales and Gross Receipts Taxes,11767488
2015,General Sales and Gross Receipts Taxes,12517831
2016,General Sales and Gross Receipts Taxes,13560382
2017,General Sales and Gross Receipts Taxes,14509841
2018,General Sales and Gross Receipts Taxes,15643017
2019,General Sales and Gross Receipts Taxes,16647080
2012,Selective Sales and Gross Receipts Taxes,3557306
2013,Selective Sales and Gross Receipts Taxes,3595183
2014,Selective Sales and Gross Receipts Taxes,3442776
2015,Selective Sales and Gross Receipts Taxes,3723403
2016,Selective Sales and Gross Receipts Taxes,4075649
2017,Selective Sales and Gross Receipts Taxes,4663740
2018,Selective Sales and Gross Receipts Taxes,4684503
2019,Selective Sales and Gross Receipts Taxes,4726647
2012,License Taxes,994819
2013,License Taxes,1408950
2014,License Taxes,1414960
2015,License Taxes,1396989
2016,License Taxes,1461200
2017,License Taxes,1448383
2018,License Taxes,2070931
2019,License Taxes,1746818
2012,All Other Taxes,2458453
2013,All Other Taxes,2660186
2014,All Other Taxes,2822675
2015,All Other Taxes,3006231
2016,All Other Taxes,3182857
2017,All Other Taxes,3373183
2018,All Other Taxes,4180873
2019,All Other Taxes,4871892
