Year,Meaning of Aggregate Description,Amount Formatted
2016,Total Taxes,"22,280,088"
2017,Total Taxes,"23,995,147"
2018,Total Taxes,"26,579,324"
2019,Total Taxes,"27,992,437"
2020,Total Taxes,"29,017,067"
2016,Property Taxes,"2,062,065"
2017,Property Taxes,"2,097,507"
2018,Property Taxes,"2,769,520"
2019,Property Taxes,"3,358,585"
2020,Property Taxes,"3,738,779"
2016,General Sales and Gross Receipts Taxes,"13,560,382"
2017,General Sales and Gross Receipts Taxes,"14,509,841"
2018,General Sales and Gross Receipts Taxes,"15,643,017"
2019,General Sales and Gross Receipts Taxes,"16,647,080"
2020,General Sales and Gross Receipts Taxes,"16,929,551"
2016,Alcoholic Beverages Sales Taxes,"347,642"
2017,Alcoholic Beverages Sales Taxes,"354,939"
2018,Alcoholic Beverages Sales Taxes,"370,738"
2019,Alcoholic Beverages Sales Taxes,"389,822"
2020,Alcoholic Beverages Sales Taxes,"420,292"
2016,Amusements Sales Taxes,0
2017,Amusements Sales Taxes,"2,800"
2018,Amusements Sales Taxes,"4,434"
2019,Amusements Sales Taxes,"4,675"
2020,Amusements Sales Taxes,"3,656"
2016,Insurance Premiums Sales Taxes,"534,663"
2017,Insurance Premiums Sales Taxes,"603,963"
2018,Insurance Premiums Sales Taxes,"630,657"
2019,Insurance Premiums Sales Taxes,"640,136"
2020,Insurance Premiums Sales Taxes,"691,393"
2016,Motor Fuels Sales Taxes,"1,457,933"
2017,Motor Fuels Sales Taxes,"1,812,646"
2018,Motor Fuels Sales Taxes,"1,713,782"
2019,Motor Fuels Sales Taxes,"1,697,722"
2020,Motor Fuels Sales Taxes,"1,564,979"
2016,Pari-mutuels Sales Taxes,"1,840"
2017,Pari-mutuels Sales Taxes,"1,805"
2018,Pari-mutuels Sales Taxes,"1,724"
2019,Pari-mutuels Sales Taxes,"1,615"
2020,Pari-mutuels Sales Taxes,"1,030"
2016,Public Utilities Sales Taxes,"489,225"
2017,Public Utilities Sales Taxes,"504,117"
2018,Public Utilities Sales Taxes,"500,703"
2019,Public Utilities Sales Taxes,"589,724"
2020,Public Utilities Sales Taxes,"585,310"
2016,Tobacco Products Sales Taxes,"450,805"
2017,Tobacco Products Sales Taxes,"430,022"
2018,Tobacco Products Sales Taxes,"422,264"
2019,Tobacco Products Sales Taxes,"397,049"
2020,Tobacco Products Sales Taxes,"390,317"
2016,Other Selective Sales and Gross Receipts Taxes,"793,541"
2017,Other Selective Sales and Gross Receipts Taxes,"953,448"
2018,Other Selective Sales and Gross Receipts Taxes,"1,040,201"
2019,Other Selective Sales and Gross Receipts Taxes,"1,005,904"
2020,Other Selective Sales and Gross Receipts Taxes,"1,176,555"
2016,Alcoholic Beverages License Taxes,"143,858"
2017,Alcoholic Beverages License Taxes,"150,772"
2018,Alcoholic Beverages License Taxes,"152,625"
2019,Alcoholic Beverages License Taxes,"164,790"
2020,Alcoholic Beverages License Taxes,"187,534"
2016,Amusements License Taxes,"6,630"
2017,Amusements License Taxes,"14,807"
2018,Amusements License Taxes,"13,914"
2019,Amusements License Taxes,"12,713"
2020,Amusements License Taxes,"14,942"
2016,Corporations General License Taxes,"35,739"
2017,Corporations General License Taxes,"39,776"
2018,Corporations General License Taxes,"41,834"
2019,Corporations General License Taxes,"42,722"
2020,Corporations General License Taxes,"45,559"
2016,Hunting and Fishing License Taxes,"43,864"
2017,Hunting and Fishing License Taxes,"41,287"
2018,Hunting and Fishing License Taxes,"42,450"
2019,Hunting and Fishing License Taxes,"41,887"
2020,Hunting and Fishing License Taxes,"42,573"
2016,Motor Vehicle License Taxes,"603,519"
2017,Motor Vehicle License Taxes,"551,517"
2018,Motor Vehicle License Taxes,"1,129,671"
2019,Motor Vehicle License Taxes,"836,075"
2020,Motor Vehicle License Taxes,"648,425"
2016,Motor Vehicle Operators License Taxes,"119,671"
2017,Motor Vehicle Operators License Taxes,"120,953"
2018,Motor Vehicle Operators License Taxes,"135,270"
2019,Motor Vehicle Operators License Taxes,"87,780"
2020,Motor Vehicle Operators License Taxes,"104,615"
2016,Public Utilities License Taxes,"22,587"
2017,Public Utilities License Taxes,"22,401"
2018,Public Utilities License Taxes,"21,148"
2019,Public Utilities License Taxes,"20,752"
2020,Public Utilities License Taxes,"20,778"
2016,"Occupation and Business License Taxes, NEC","323,654"
2017,"Occupation and Business License Taxes, NEC","337,794"
2018,"Occupation and Business License Taxes, NEC","357,370"
2019,"Occupation and Business License Taxes, NEC","362,762"
2020,"Occupation and Business License Taxes, NEC","379,875"
2016,Other License Taxes,"161,678"
2017,Other License Taxes,"169,076"
2018,Other License Taxes,"176,649"
2019,Other License Taxes,"177,337"
2020,Other License Taxes,"171,073"
2016,Individual Income Taxes,0
2017,Individual Income Taxes,0
2018,Individual Income Taxes,0
2019,Individual Income Taxes,0
2020,Individual Income Taxes,0
2016,Corporations Net Income Taxes,0
2017,Corporations Net Income Taxes,0
2018,Corporations Net Income Taxes,0
2019,Corporations Net Income Taxes,0
2020,Corporations Net Income Taxes,0
2016,Death and Gift Taxes,"136,035"
2017,Death and Gift Taxes,"167,972"
2018,Death and Gift Taxes,"208,610"
2019,Death and Gift Taxes,"300,324"
2020,Death and Gift Taxes,"634,915"
2016,Documentarty and Stock Transfer Taxes,"945,026"
2017,Documentarty and Stock Transfer Taxes,"1,072,649"
2018,Documentarty and Stock Transfer Taxes,"1,161,436"
2019,Documentarty and Stock Transfer Taxes,"1,165,883"
2020,Documentarty and Stock Transfer Taxes,"1,226,500"
2016,Severance Taxes,"39,731"
2017,Severance Taxes,"35,055"
2018,Severance Taxes,"41,307"
2019,Severance Taxes,"47,100"
2020,Severance Taxes,"38,408"
2016,"Taxes, NEC",0
2017,"Taxes, NEC",0
2018,"Taxes, NEC",0
2019,"Taxes, NEC",0
2020,"Taxes, NEC",8
2016,Sales and Gross Receipts Taxes,"17,636,031"
2017,Sales and Gross Receipts Taxes,"19,173,581"
2018,Sales and Gross Receipts Taxes,"20,327,520"
2019,Sales and Gross Receipts Taxes,"21,373,727"
