Table 1.  State Tax Collections by State: 2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2015 Annual Survey of State Tax Collections. Data users who create their own estimates using data from this report should cite the ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Census Bureau as the source of the original data only. The data in this table are based on information from public records and contain no confidential data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The state government data in this table are from a survey of all state governments and are not subject to sampling error. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax_Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Taxes,T00,"918,539,656","9,755,439","1,363,350","13,721,262","9,168,570","151,234,534","12,747,749","16,184,490","3,513,916","7,109,329","37,217,689","19,732,308","6,485,563","3,976,017","40,821,385","17,435,854","9,189,255","7,884,091","11,597,983","9,696,730","4,064,075","20,001,304","26,973,576","26,957,337","24,479,856","7,902,885","12,005,133","2,843,465","5,086,759","7,532,989","2,487,737","31,567,654","6,009,443","78,201,753","25,084,225","5,736,355","28,297,156","9,692,601","10,577,079","36,110,311","3,165,635","9,598,478","1,674,108","12,698,496","55,086,438","6,703,356","3,043,152","20,536,885","20,644,454","5,565,985","17,019,139","2,356,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Taxes,T01,"17,534,537","336,825","127,821","882,643","1,066,789","2,315,507",X,X,X,"2,251,725",X,"863,586",X,X,"60,959","8,834","1,772","658,758","563,435","56,658","37,028","738,170","5,311","1,963,036","839,487","25,961","30,265","268,057",119,"242,168","404,579","4,547","108,803",X,X,"3,505",X,X,"20,336","41,860","2,480","26,394",X,X,X,X,"1,035,611","32,712","2,018,393","6,679","165,155","318,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales and Gross Receipts Taxes,TA1,"432,460,913","4,936,049","255,971","7,885,555","4,410,340","52,412,359","4,744,644","6,554,350","498,557","1,751,874","30,336,315","7,555,865","4,082,196","1,941,280","17,641,282","10,639,926","4,268,628","3,977,806","5,450,451","5,285,626","1,999,051","8,450,318","8,274,172","13,124,461","9,953,411","4,873,777","5,084,211","603,200","2,315,830","6,038,768","970,102","12,951,867","2,995,689","23,932,517","10,733,859","1,935,816","17,214,405","4,032,088","1,498,647","18,369,809","1,620,523","4,845,230","1,372,682","9,196,721","47,654,182","2,766,724","1,026,188","6,495,087","16,241,234","2,619,323","7,647,097","994,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Sales and Gross Receipts Taxes,T09,"287,338,745","2,463,912",X,"6,105,909","3,182,211","38,464,704","2,817,773","4,082,787",X,"1,315,925","21,800,895","5,256,592","2,992,707","1,463,802","10,489,152","7,279,604","3,040,627","3,052,986","3,267,331","2,926,783","1,280,298","4,409,919","5,803,934","9,211,783","5,483,791","3,422,774","3,380,034",X,"1,787,880","4,080,507",X,"9,146,025","2,256,088","13,104,421","6,862,578","1,389,083","11,900,176","2,682,008",X,"9,865,270","959,513","3,568,788","970,784","6,548,032","33,664,187","1,882,901","366,667","3,793,215","12,517,831","1,293,327","4,892,126","811,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selective Sales and Gross Receipts Taxes,TA2,"145,122,168","2,472,137","255,971","1,779,646","1,228,129","13,947,655","1,926,871","2,471,563","498,557","435,949","8,535,420","2,299,273","1,089,489","477,478","7,152,130","3,360,322","1,228,001","924,820","2,183,120","2,358,843","718,753","4,040,399","2,470,238","3,912,678","4,469,620","1,451,003","1,704,177","603,200","527,950","1,958,261","970,102","3,805,842","739,601","10,828,096","3,871,281","546,733","5,314,229","1,350,080","1,498,647","8,504,539","661,010","1,276,442","401,898","2,648,689","13,989,995","883,823","659,521","2,701,872","3,723,403","1,325,996","2,754,971","183,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverages Sales Tax,T10,"6,430,964","192,490","39,836","71,270","53,256","357,373","41,392","61,612","20,708","6,244","459,019","184,374","50,281","8,937","283,177","46,064","22,686","132,589","131,951","57,416","18,312","30,956","80,815","145,399","85,142","42,094","36,208","33,860","29,873","43,799","12,328","138,548","45,735","250,899","359,880","9,485","101,090","116,772","17,811","358,887","19,538","166,501","16,690","159,768","1,147,565","51,221","24,839","257,229","331,405","18,159","57,596","1,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusements Sales Tax,T11,"7,448,559",18,"9,144",X,"47,484",X,"110,105","307,841",X,X,"198,094",X,X,X,"746,846","618,600","288,085",319,155,"713,800","51,555","567,795","4,470","110,785","49,063","131,270","366,381","59,808","6,309","952,593",436,"206,143","72,059","1,129","1,824","3,626","269,998","20,767",X,"1,408,047",X,"36,780","8,993",X,"30,981",X,X,105,X,"46,928",223,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance Premiums Sales Tax,T12,"19,109,304","312,030","66,456","466,788","190,884","2,444,573","257,795","189,362","93,763","106,407","690,160","419,653","150,872","84,498","379,773","221,100","109,593","211,766","146,481","438,179","98,353","444,691","367,832","322,999","437,806","299,127","376,811","97,404","31,036","293,922","107,740","648,090","122,280","1,431,361","529,936","58,008","544,523","325,954","62,340","792,922","95,174","207,610","83,022","809,567","1,986,919","119,280","57,950","451,037","555,976","155,687","184,166","29,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Fuels Sales Tax,T13,"42,525,011","560,188","42,003","753,814","461,731","5,711,160","667,948","481,825","117,401","25,256","2,481,760","1,025,819","93,066","258,993","1,293,272","832,006","541,813","439,045","850,276","606,410","243,891","923,483","756,121","1,010,395","884,596","428,278","695,145","226,806","327,665","304,364","146,796","535,550","240,177","1,648,106","1,924,089","232,296","1,907,996","455,288","524,665","2,731,605","85,801","546,370","148,170","857,605","3,462,288","377,390","85,619","755,681","1,247,817","433,877","1,014,656","118,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari-mutuels Sales Tax,T14,"121,505","1,514",X,185,"2,791","14,009",615,"6,341",71,X,"7,401",X,X,"3,511","6,360","2,186","3,865",X,"2,965","4,356","1,883","1,138","1,203","3,904",514,X,X,39,150,0,914,X,875,"18,969",X,"1,364","5,758","1,155","2,268","10,293","1,103",X,397,X,"7,114",X,X,X,"1,458","2,312",0,"2,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
