"SVY_COMP","SVY_COMP_LABEL","GEO_ID","NAME","GEO_ID_F","YEAR","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_FORMATTED"
"Survey Component","Meaning of Survey Component","id","Geographic Area Name","Geo Footnote","Year","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Amount Formatted"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0001","Total Revenue","002","State","40803723","40,803,723"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0001","Total Revenue","002","State","48998678","48,998,678"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0001","Total Revenue","002","State","55042312","55,042,312"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0001","Total Revenue","002","State","50008690","50,008,690"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0001","Total Revenue","002","State","51173804","51,173,804"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0001","Total Revenue","002","State","65733100","65,733,100"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0001","Total Revenue","002","State","70873183","70,873,183"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0001","Total Revenue","002","State","68488756","68,488,756"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0003","General Revenue","002","State","34211495","34,211,495"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0003","General Revenue","002","State","35962221","35,962,221"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0003","General Revenue","002","State","38517245","38,517,245"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0003","General Revenue","002","State","41561687","41,561,687"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0003","General Revenue","002","State","44056615","44,056,615"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0003","General Revenue","002","State","47436749","47,436,749"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0003","General Revenue","002","State","50965346","50,965,346"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0003","General Revenue","002","State","52105148","52,105,148"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0004","Intergovernmental Revenue","002","State","10002170","10,002,170"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0004","Intergovernmental Revenue","002","State","10020920","10,020,920"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0004","Intergovernmental Revenue","002","State","11536213","11,536,213"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0004","Intergovernmental Revenue","002","State","13247057","13,247,057"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0004","Intergovernmental Revenue","002","State","13684525","13,684,525"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0004","Intergovernmental Revenue","002","State","14237160","14,237,160"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0004","Intergovernmental Revenue","002","State","14446364","14,446,364"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0004","Intergovernmental Revenue","002","State","13963165","13,963,165"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0005","Total Taxes","002","State","17624715","17,624,715"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0005","Total Taxes","002","State","18787187","18,787,187"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0005","Total Taxes","002","State","19447899","19,447,899"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0005","Total Taxes","002","State","20644454","20,644,454"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0005","Total Taxes","002","State","22280088","22,280,088"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0005","Total Taxes","002","State","23995147","23,995,147"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0005","Total Taxes","002","State","26579324","26,579,324"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0005","Total Taxes","002","State","27992437","27,992,437"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0006","General Sales and Gross Receipts Taxes","002","State","10614137","10,614,137"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0006","General Sales and Gross Receipts Taxes","002","State","11122868","11,122,868"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0006","General Sales and Gross Receipts Taxes","002","State","11767488","11,767,488"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0006","General Sales and Gross Receipts Taxes","002","State","12517831","12,517,831"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0006","General Sales and Gross Receipts Taxes","002","State","13560382","13,560,382"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0006","General Sales and Gross Receipts Taxes","002","State","14509841","14,509,841"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0006","General Sales and Gross Receipts Taxes","002","State","15643017","15,643,017"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0006","General Sales and Gross Receipts Taxes","002","State","16647080","16,647,080"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0007","Selective Sales and Gross Receipts Taxes","002","State","3557306","3,557,306"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0007","Selective Sales and Gross Receipts Taxes","002","State","3595183","3,595,183"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0007","Selective Sales and Gross Receipts Taxes","002","State","3442776","3,442,776"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0007","Selective Sales and Gross Receipts Taxes","002","State","3723403","3,723,403"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0007","Selective Sales and Gross Receipts Taxes","002","State","4075649","4,075,649"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0007","Selective Sales and Gross Receipts Taxes","002","State","4663740","4,663,740"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0007","Selective Sales and Gross Receipts Taxes","002","State","4684503","4,684,503"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0007","Selective Sales and Gross Receipts Taxes","002","State","4726647","4,726,647"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0008","License Taxes","002","State","994819","994,819"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0008","License Taxes","002","State","1408950","1,408,950"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0008","License Taxes","002","State","1414960","1,414,960"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0008","License Taxes","002","State","1396989","1,396,989"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0008","License Taxes","002","State","1461200","1,461,200"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0008","License Taxes","002","State","1448383","1,448,383"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0008","License Taxes","002","State","2070931","2,070,931"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0008","License Taxes","002","State","1746818","1,746,818"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0009","Individual Income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0009","Individual Income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0009","Individual Income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0009","Individual Income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0009","Individual Income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0009","Individual Income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0009","Individual Income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0009","Individual Income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0010","Corporation Net income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0010","Corporation Net income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0010","Corporation Net income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0010","Corporation Net income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0010","Corporation Net income Taxes","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0010","Corporation Net income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0010","Corporation Net income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0010","Corporation Net income Taxes","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0011","All Other Taxes","002","State","2458453","2,458,453"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0011","All Other Taxes","002","State","2660186","2,660,186"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0011","All Other Taxes","002","State","2822675","2,822,675"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0011","All Other Taxes","002","State","3006231","3,006,231"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0011","All Other Taxes","002","State","3182857","3,182,857"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0011","All Other Taxes","002","State","3373183","3,373,183"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0011","All Other Taxes","002","State","4180873","4,180,873"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0011","All Other Taxes","002","State","4871892","4,871,892"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0013","Current Charges","002","State","4254584","4,254,584"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0013","Current Charges","002","State","4796450","4,796,450"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0013","Current Charges","002","State","4973659","4,973,659"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0013","Current Charges","002","State","5090011","5,090,011"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0013","Current Charges","002","State","5352613","5,352,613"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0013","Current Charges","002","State","5974961","5,974,961"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0013","Current Charges","002","State","6280235","6,280,235"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0013","Current Charges","002","State","6672388","6,672,388"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0014","Miscellaneous General Revenue","002","State","2330026","2,330,026"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0014","Miscellaneous General Revenue","002","State","2357664","2,357,664"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0014","Miscellaneous General Revenue","002","State","2559474","2,559,474"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0014","Miscellaneous General Revenue","002","State","2580165","2,580,165"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0014","Miscellaneous General Revenue","002","State","2739389","2,739,389"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0014","Miscellaneous General Revenue","002","State","3229481","3,229,481"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0014","Miscellaneous General Revenue","002","State","3659423","3,659,423"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0014","Miscellaneous General Revenue","002","State","3477158","3,477,158"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0016","Utility Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0016","Utility Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0016","Utility Revenue","002","State","11","11"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0016","Utility Revenue","002","State","4","4"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0016","Utility Revenue","002","State","41","41"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0016","Utility Revenue","002","State","14","14"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0016","Utility Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0016","Utility Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0017","Liquor Stores Revenue","002","State","612106","612,106"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0017","Liquor Stores Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0017","Liquor Stores Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0017","Liquor Stores Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0017","Liquor Stores Revenue","002","State","0","0"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0017","Liquor Stores Revenue","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0017","Liquor Stores Revenue","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0017","Liquor Stores Revenue","002","State","X","X"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0018","Insurance Trust Revenue","002","State","5980122","5,980,122"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0018","Insurance Trust Revenue","002","State","13036457","13,036,457"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0018","Insurance Trust Revenue","002","State","16525056","16,525,056"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0018","Insurance Trust Revenue","002","State","8446999","8,446,999"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0018","Insurance Trust Revenue","002","State","7117148","7,117,148"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0018","Insurance Trust Revenue","002","State","18296337","18,296,337"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0018","Insurance Trust Revenue","002","State","19907837","19,907,837"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0018","Insurance Trust Revenue","002","State","16383608","16,383,608"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0020","Total Expenditure","002","State","45690215","45,690,215"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0020","Total Expenditure","002","State","45003333","45,003,333"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0020","Total Expenditure","002","State","48117245","48,117,245"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0020","Total Expenditure","002","State","50812399","50,812,399"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0020","Total Expenditure","002","State","52736997","52,736,997"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0020","Total Expenditure","002","State","56191751","56,191,751"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0020","Total Expenditure","002","State","58298035","58,298,035"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0020","Total Expenditure","002","State","61042252","61,042,252"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","10314091","10,314,091"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","10283471","10,283,471"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","11172420","11,172,420"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","11783929","11,783,929"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","12448294","12,448,294"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","13639615","13,639,615"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","14549578","14,549,578"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0021","Total Expenditure - Intergovernmental Expenditure","002","State","16832903","16,832,903"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0022","Total Expenditure - Direct Expenditure","002","State","35376124","35,376,124"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0022","Total Expenditure - Direct Expenditure","002","State","34719862","34,719,862"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0022","Total Expenditure - Direct Expenditure","002","State","36944825","36,944,825"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0022","Total Expenditure - Direct Expenditure","002","State","39028470","39,028,470"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0022","Total Expenditure - Direct Expenditure","002","State","40288703","40,288,703"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0022","Total Expenditure - Direct Expenditure","002","State","42552136","42,552,136"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0022","Total Expenditure - Direct Expenditure","002","State","43748457","43,748,457"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0022","Total Expenditure - Direct Expenditure","002","State","44209349","44,209,349"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","21770253","21,770,253"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","21429815","21,429,815"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2014","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","23869792","23,869,792"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2015","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","26397268","26,397,268"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2016","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","27594097","27,594,097"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2017","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","29625769","29,625,769"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2018","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","30536522","30,536,522"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2019","SF0023","Total Expenditure - Direct Expenditure - Current Operations","002","State","31006045","31,006,045"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2012","SF0024","Total Expenditure - Direct Expenditure - Capital Outlay","002","State","2906639","2,906,639"
"02","Annual Survey of State Government Finance","0400000US53","Washington","null","2013","SF0024","Total Expenditure - Direct Expenditure - Capital Outlay","002","State","3119913","3,119,913"
