Geographic Area Name,Year,Meaning of Survey Component,Aggregate Description,Meaning of Aggregate Description,Meaning of Type of Government,Amount Formatted
Washington,2016,Annual Survey of State Government Tax Collection,ST0T00,Total Taxes,State,"22,280,088"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T00,Total Taxes,State,"23,995,147"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T00,Total Taxes,State,"26,579,324"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T00,Total Taxes,State,"27,992,437"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T00,Total Taxes,State,"29,017,067"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T01,Property Taxes,State,"2,062,065"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T01,Property Taxes,State,"2,097,507"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T01,Property Taxes,State,"2,769,520"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T01,Property Taxes,State,"3,358,585"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T01,Property Taxes,State,"3,738,779"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T09,General Sales and Gross Receipts Taxes,State,"13,560,382"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T09,General Sales and Gross Receipts Taxes,State,"14,509,841"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T09,General Sales and Gross Receipts Taxes,State,"15,643,017"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T09,General Sales and Gross Receipts Taxes,State,"16,647,080"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T09,General Sales and Gross Receipts Taxes,State,"16,929,551"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T10,Alcoholic Beverages Sales Taxes,State,"347,642"
Washington,2017,Annual Survey of State Government Tax Collection,ST0T10,Alcoholic Beverages Sales Taxes,State,"354,939"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T10,Alcoholic Beverages Sales Taxes,State,"370,738"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T10,Alcoholic Beverages Sales Taxes,State,"389,822"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T10,Alcoholic Beverages Sales Taxes,State,"420,292"
Washington,2016,Annual Survey of State Government Tax Collection,ST0T11,Amusements Sales Taxes,State,X
Washington,2017,Annual Survey of State Government Tax Collection,ST0T11,Amusements Sales Taxes,State,"2,800"
Washington,2018,Annual Survey of State Government Tax Collection,ST0T11,Amusements Sales Taxes,State,"4,434"
Washington,2019,Annual Survey of State Government Tax Collection,ST0T11,Amusements Sales Taxes,State,"4,675"
Washington,2020,Annual Survey of State Government Tax Collection,ST0T11,Amusements Sales Taxes,State,"3,656"
