Year,Meaning of Aggregate Description,Amount,
2012,Total Revenue," 40,803,723 ",
2013,Total Revenue," 48,998,678 ",
2014,Total Revenue," 55,042,312 ",
2015,Total Revenue," 50,008,690 ",
2016,Total Revenue," 51,173,804 ",
2017,Total Revenue," 65,733,100 ",
2018,Total Revenue," 70,873,183 ",
2019,Total Revenue," 68,488,756 ",
2012,General Revenue," 34,211,495 ",
2013,General Revenue," 35,962,221 ",
2014,General Revenue," 38,517,245 ",
2015,General Revenue," 41,561,687 ",
2016,General Revenue," 44,056,615 ",
2017,General Revenue," 47,436,749 ",
2018,General Revenue," 50,965,346 ",
2019,General Revenue," 52,105,148 ",
2012,Intergovernmental Revenue," 10,002,170 ",
2013,Intergovernmental Revenue," 10,020,920 ",
2014,Intergovernmental Revenue," 11,536,213 ",
2015,Intergovernmental Revenue," 13,247,057 ",
2016,Intergovernmental Revenue," 13,684,525 ",
2017,Intergovernmental Revenue," 14,237,160 ",
2018,Intergovernmental Revenue," 14,446,364 ",
2019,Intergovernmental Revenue," 13,963,165 ",
2012,Total Taxes," 17,624,715 ",
2013,Total Taxes," 18,787,187 ",
2014,Total Taxes," 19,447,899 ",
2015,Total Taxes," 20,644,454 ",
2016,Total Taxes," 22,280,088 ",
2017,Total Taxes," 23,995,147 ",
2018,Total Taxes," 26,579,324 ",
2019,Total Taxes," 27,992,437 ",
2012,General Sales and Gross Receipts Taxes," 10,614,137 ",
2013,General Sales and Gross Receipts Taxes," 11,122,868 ",
2014,General Sales and Gross Receipts Taxes," 11,767,488 ",
2015,General Sales and Gross Receipts Taxes," 12,517,831 ",
2016,General Sales and Gross Receipts Taxes," 13,560,382 ",
2017,General Sales and Gross Receipts Taxes," 14,509,841 ",
2018,General Sales and Gross Receipts Taxes," 15,643,017 ",
2019,General Sales and Gross Receipts Taxes," 16,647,080 ",
2012,Selective Sales and Gross Receipts Taxes," 3,557,306 ",
2013,Selective Sales and Gross Receipts Taxes," 3,595,183 ",
2014,Selective Sales and Gross Receipts Taxes," 3,442,776 ",
2015,Selective Sales and Gross Receipts Taxes," 3,723,403 ",
2016,Selective Sales and Gross Receipts Taxes," 4,075,649 ",
2017,Selective Sales and Gross Receipts Taxes," 4,663,740 ",
2018,Selective Sales and Gross Receipts Taxes," 4,684,503 ",
2019,Selective Sales and Gross Receipts Taxes," 4,726,647 ",
2012,License Taxes," 994,819 ",
2013,License Taxes," 1,408,950 ",
2014,License Taxes," 1,414,960 ",
2015,License Taxes," 1,396,989 ",
2016,License Taxes," 1,461,200 ",
2017,License Taxes," 1,448,383 ",
2018,License Taxes," 2,070,931 ",
2019,License Taxes," 1,746,818 ",
2012,Individual Income Taxes, -   ,
2013,Individual Income Taxes, -   ,
2014,Individual Income Taxes, -   ,
2015,Individual Income Taxes, -   ,
2016,Individual Income Taxes, -   ,
2017,Individual Income Taxes, -   ,
2018,Individual Income Taxes, -   ,
2019,Individual Income Taxes, -   ,
2012,Corporation Net income Taxes, -   ,
2013,Corporation Net income Taxes, -   ,
2014,Corporation Net income Taxes, -   ,
2015,Corporation Net income Taxes, -   ,
2016,Corporation Net income Taxes, -   ,
2017,Corporation Net income Taxes, -   ,
2018,Corporation Net income Taxes, -   ,
2019,Corporation Net income Taxes, -   ,
2012,All Other Taxes," 2,458,453 ",
2013,All Other Taxes," 2,660,186 ",
2014,All Other Taxes," 2,822,675 ",
2015,All Other Taxes," 3,006,231 ",
2016,All Other Taxes," 3,182,857 ",
2017,All Other Taxes," 3,373,183 ",
2018,All Other Taxes," 4,180,873 ",
2019,All Other Taxes," 4,871,892 ",
2012,Current Charges," 4,254,584 ",
2013,Current Charges," 4,796,450 ",
2014,Current Charges," 4,973,659 ",
2015,Current Charges," 5,090,011 ",
2016,Current Charges," 5,352,613 ",
2017,Current Charges," 5,974,961 ",
2018,Current Charges," 6,280,235 ",
2019,Current Charges," 6,672,388 ",
2012,Miscellaneous General Revenue," 2,330,026 ",
2013,Miscellaneous General Revenue," 2,357,664 ",
2014,Miscellaneous General Revenue," 2,559,474 ",
2015,Miscellaneous General Revenue," 2,580,165 ",
2016,Miscellaneous General Revenue," 2,739,389 ",
2017,Miscellaneous General Revenue," 3,229,481 ",
2018,Miscellaneous General Revenue," 3,659,423 ",
2019,Miscellaneous General Revenue," 3,477,158 ",
2012,Utility Revenue, -   ,
2013,Utility Revenue, -   ,
2014,Utility Revenue, 11 ,
2015,Utility Revenue, 4 ,
2016,Utility Revenue, 41 ,
2017,Utility Revenue, 14 ,
2018,Utility Revenue, -   ,
2019,Utility Revenue, -   ,
2012,Liquor Stores Revenue," 612,106 ",
2013,Liquor Stores Revenue, -   ,
2014,Liquor Stores Revenue, -   ,
2015,Liquor Stores Revenue, -   ,
2016,Liquor Stores Revenue, -   ,
2017,Liquor Stores Revenue, -   ,
2018,Liquor Stores Revenue, -   ,
2019,Liquor Stores Revenue, -   ,
2012,Insurance Trust Revenue," 5,980,122 ",
2013,Insurance Trust Revenue," 13,036,457 ",
2014,Insurance Trust Revenue," 16,525,056 ",
2015,Insurance Trust Revenue," 8,446,999 ",
2016,Insurance Trust Revenue," 7,117,148 ",
2017,Insurance Trust Revenue," 18,296,337 ",
2018,Insurance Trust Revenue," 19,907,837 ",
2019,Insurance Trust Revenue," 16,383,608 ",
2012,Total Expenditure," 45,690,215 ",
2013,Total Expenditure," 45,003,333 ",
2014,Total Expenditure," 48,117,245 ",
2015,Total Expenditure," 50,812,399 ",
2016,Total Expenditure," 52,736,997 ",
2017,Total Expenditure," 56,191,751 ",
2018,Total Expenditure," 58,298,035 ",
2019,Total Expenditure," 61,042,252 ",
2012,Total Expenditure - Intergovernmental Expenditure," 10,314,091 ",
2013,Total Expenditure - Intergovernmental Expenditure," 10,283,471 ",
2014,Total Expenditure - Intergovernmental Expenditure," 11,172,420 ",
2015,Total Expenditure - Intergovernmental Expenditure," 11,783,929 ",
2016,Total Expenditure - Intergovernmental Expenditure," 12,448,294 ",
2017,Total Expenditure - Intergovernmental Expenditure," 13,639,615 ",
2018,Total Expenditure - Intergovernmental Expenditure," 14,549,578 ",
2019,Total Expenditure - Intergovernmental Expenditure," 16,832,903 ",
2012,Total Expenditure - Direct Expenditure," 35,376,124 ",
2013,Total Expenditure - Direct Expenditure," 34,719,862 ",
2014,Total Expenditure - Direct Expenditure," 36,944,825 ",
2015,Total Expenditure - Direct Expenditure," 39,028,470 ",
2016,Total Expenditure - Direct Expenditure," 40,288,703 ",
2017,Total Expenditure - Direct Expenditure," 42,552,136 ",
2018,Total Expenditure - Direct Expenditure," 43,748,457 ",
2019,Total Expenditure - Direct Expenditure," 44,209,349 ",
2012,Total Expenditure - Direct Expenditure - Current Operations," 21,770,253 ",
2013,Total Expenditure - Direct Expenditure - Current Operations," 21,429,815 ",
2014,Total Expenditure - Direct Expenditure - Current Operations," 23,869,792 ",
2015,Total Expenditure - Direct Expenditure - Current Operations," 26,397,268 ",
2016,Total Expenditure - Direct Expenditure - Current Operations," 27,594,097 ",
2017,Total Expenditure - Direct Expenditure - Current Operations," 29,625,769 ",
2018,Total Expenditure - Direct Expenditure - Current Operations," 30,536,522 ",
2019,Total Expenditure - Direct Expenditure - Current Operations," 31,006,045 ",
2012,Total Expenditure - Direct Expenditure - Capital Outlay," 2,906,639 ",
2013,Total Expenditure - Direct Expenditure - Capital Outlay," 3,119,913 ",
2014,Total Expenditure - Direct Expenditure - Capital Outlay," 2,833,717 ",
